
--- START Sum: 0.0000000000---
Sum : 5.9814233184 | Diff: -0.0066847801
Sum : 5.9814233184 | Diff: 0.0000000000
Sum : 5.9814233184 | Diff: 0.0000000000
Sum : 5.9814233184 | Diff: 0.0000000000
Sum : 5.9814233184 | Diff: 0.0000000000
Sum : 5.9818319678 | Diff: 0.0004086494
Sum : 5.9818319678 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: -0.0017641187
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9800678492 | Diff: 0.0000000000
Sum : 5.9775200486 | Diff: -0.0025478005
Sum : 5.9775200486 | Diff: 0.0000000000
Sum : 5.9775200486 | Diff: 0.0000000000
Sum : 5.9775200486 | Diff: 0.0000000000
Sum : 5.9775200486 | Diff: 0.0000000000
Sum : 5.9775200486 | Diff: 0.0000000000
Sum : 5.9775200486 | Diff: 0.0000000000
Sum : 5.9775200486 | Diff: 0.0000000000
Sum : 5.9775200486 | Diff: 0.0000000000
Sum : 5.9734689593 | Diff: -0.0040510893
Sum : 5.9734689593 | Diff: 0.0000000000
Sum : 5.9691461921 | Diff: -0.0043227673
Sum : 5.9653067589 | Diff: -0.0038394332
Sum : 5.9625459313 | Diff: -0.0027608275
Sum : 5.9569721818 | Diff: -0.0055737495
Sum : 5.9569721818 | Diff: 0.0000000000
Sum : 5.9569721818 | Diff: 0.0000000000
